doi,references_found,citations_found,api,retrieval_timestamp,references_OpenAlex,references_SemanticScholar,references_Overlap,references_OpenAlex_unique,references_SemanticScholar_unique,references_Total_unique,citations_OpenAlex,citations_SemanticScholar,citations_Overlap,citations_OpenAlex_unique,citations_SemanticScholar_unique,citations_Total_unique
10.1016/j.adolescence.2010.11.009,31,21,CompositeAPI,2025-07-02T19:20:28.341332+00:00,31,0,0,31,0,31,20,18,17,3,1,21
2775789439,0,4,CompositeAPI,2025-07-02T19:20:32.552005+00:00,0,0,0,0,0,0,2,3,1,1,2,4
10.1177/089443939701500107,10,73,CompositeAPI,2025-07-02T19:20:35.381779+00:00,10,0,0,10,0,10,69,51,47,22,4,73
10.4324/9781315736495-6,1,4,CompositeAPI,2025-07-02T19:20:38.756318+00:00,1,0,0,1,0,1,3,4,3,0,1,4
10.1007/s10660-020-09421-4,39,2,CompositeAPI,2025-07-02T19:20:41.644503+00:00,39,0,0,39,0,39,2,0,0,2,0,2
10.3390/children9081186,40,0,CompositeAPI,2025-07-02T19:20:45.811068+00:00,37,38,35,2,3,40,0,0,0,0,0,0
10.1111/ijsw.12609,42,4,CompositeAPI,2025-07-02T19:20:48.342992+00:00,42,0,0,42,0,42,4,4,4,0,0,4
10.1016/j.infbeh.2020.101509,70,40,CompositeAPI,2025-07-02T19:20:52.324918+00:00,70,0,0,70,0,70,40,33,33,7,0,40
10.2501/jar-53-1-071-082,9,30,CompositeAPI,2025-07-02T19:20:57.597851+00:00,9,0,0,9,0,9,29,22,21,8,1,30
10.1111/j.1460-2466.2008.00401_2.x,0,0,CompositeAPI,2025-07-02T19:21:00.809563+00:00,0,0,0,0,0,0,0,0,0,0,0,0
10.1111/j.1468-2958.1987.tb00120.x,23,46,CompositeAPI,2025-07-02T19:21:02.011311+00:00,23,0,0,23,0,23,45,39,38,7,1,46
10.23750/abm.v95i5.15826,0,0,CompositeAPI,2025-07-02T19:21:06.398521+00:00,0,0,0,0,0,0,0,0,0,0,0,0
10.1177/2167702618778562,7,15,CompositeAPI,2025-07-02T19:21:07.430920+00:00,7,0,0,7,0,7,14,11,10,4,1,15
10.3389/fhumd.2021.585906,26,1,CompositeAPI,2025-07-02T19:21:10.813657+00:00,22,25,21,1,4,26,1,0,0,1,0,1
10.1016/j.tourman.2008.12.012,52,153,CompositeAPI,2025-07-02T19:21:13.869108+00:00,52,0,0,52,0,52,146,120,113,33,7,153
10.1080/10494820.2022.2160765,6,3,CompositeAPI,2025-07-02T19:21:19.997988+00:00,6,0,0,6,0,6,3,3,3,0,0,3
10.1177/2167479516688438,48,41,CompositeAPI,2025-07-02T19:21:22.962330+00:00,48,0,0,48,0,48,40,30,29,11,1,41
10.3389/fpsyg.2021.742468,75,7,CompositeAPI,2025-07-02T19:21:28.249493+00:00,65,74,64,1,10,75,7,6,6,1,0,7
10.1080/14616700802337768,3,75,CompositeAPI,2025-07-02T19:21:33.424445+00:00,3,0,0,3,0,3,65,66,56,9,10,75
10.1108/apjml-05-2020-0377,59,4,CompositeAPI,2025-07-02T19:21:36.629217+00:00,59,0,0,59,0,59,4,1,1,3,0,4
10.1371/journal.pone.0257877,49,16,CompositeAPI,2025-07-02T19:21:41.627865+00:00,46,46,43,3,3,49,15,14,13,2,1,16
10.1080/1369118x.2016.1164740,41,115,CompositeAPI,2025-07-02T19:21:46.004449+00:00,41,0,0,41,0,41,106,86,77,29,9,115
10.3102/00346543051002193,30,96,CompositeAPI,2025-07-02T19:21:52.202045+00:00,30,0,0,30,0,30,89,92,85,4,7,96
10.1016/j.econedurev.2017.01.001,30,36,CompositeAPI,2025-07-02T19:21:56.720657+00:00,30,0,0,30,0,30,27,25,16,11,9,36
10.1111/jftr.12384,79,7,CompositeAPI,2025-07-02T19:22:01.017800+00:00,79,0,0,79,0,79,7,5,5,2,0,7
10.1016/j.sleh.2015.11.003,51,160,CompositeAPI,2025-07-02T19:22:07.220997+00:00,51,0,0,51,0,51,150,123,113,37,10,160
10.1111/apa.12935,26,29,CompositeAPI,2025-07-02T19:22:13.445565+00:00,26,0,0,26,0,26,27,29,27,0,2,29
10.1007/s12187-019-09675-x,47,46,CompositeAPI,2025-07-02T19:22:17.618582+00:00,47,0,0,47,0,47,46,0,0,46,0,46
10.1016/j.actpsy.2024.104674,123,1,CompositeAPI,2025-07-02T19:22:22.839864+00:00,123,0,0,123,0,123,0,1,0,0,1,1
10.1186/1471-2458-9-146,39,40,CompositeAPI,2025-07-02T19:22:28.674586+00:00,39,0,0,39,0,39,40,0,0,40,0,40
10.1111/0038-4941.00026,13,118,CompositeAPI,2025-07-02T19:22:33.090791+00:00,13,0,0,13,0,13,114,103,99,15,4,118
10.1007/bf02895662,41,91,CompositeAPI,2025-07-02T19:22:37.191541+00:00,41,0,0,41,0,41,86,81,76,10,5,91
10.1016/j.adolescence.2013.11.003,44,192,CompositeAPI,2025-07-02T19:22:41.448223+00:00,44,0,0,44,0,44,183,158,149,34,9,192
10.1089/cyber.2022.0057,10,1,CompositeAPI,2025-07-02T19:22:47.918647+00:00,10,0,0,10,0,10,1,0,0,1,0,1
10.1111/cdev.13953,49,5,CompositeAPI,2025-07-02T19:22:50.849234+00:00,49,0,0,49,0,49,5,5,5,0,0,5
10.1177/20501579221134168,49,5,CompositeAPI,2025-07-02T19:22:55.730386+00:00,49,0,0,49,0,49,5,4,4,1,0,5
10.1080/1369118x.2010.539243,26,39,CompositeAPI,2025-07-02T19:23:00.585329+00:00,26,0,0,26,0,26,36,31,28,8,3,39
10.1177/1461444809356334,40,30,CompositeAPI,2025-07-02T19:23:04.624771+00:00,40,0,0,40,0,40,24,30,24,0,6,30
10.1016/j.jpeds.2018.09.054,28,103,CompositeAPI,2025-07-02T19:23:08.674622+00:00,28,0,0,28,0,28,96,86,79,17,7,103
10.1080/10810730.2016.1157651,63,41,CompositeAPI,2025-07-02T19:23:12.904191+00:00,63,0,0,63,0,63,39,26,24,15,2,41
10.1177/1354856514541928,21,32,CompositeAPI,2025-07-02T19:23:19.679149+00:00,21,0,0,21,0,21,32,29,29,3,0,32
10.1177/2333794x19878062,37,21,CompositeAPI,2025-07-02T19:23:23.106391+00:00,33,34,30,3,4,37,20,13,12,8,1,21
10.1037/dev0000851,70,51,CompositeAPI,2025-07-02T19:23:27.247489+00:00,70,0,0,70,0,70,47,39,35,12,4,51
10.1016/j.chb.2015.03.073,29,25,CompositeAPI,2025-07-02T19:23:33.394743+00:00,29,0,0,29,0,29,23,24,22,1,2,25
10.1007/s40675-019-00146-x,95,55,CompositeAPI,2025-07-02T19:23:37.422215+00:00,95,0,0,95,0,95,52,43,40,12,3,55
10.2501/s026504870909043x,0,36,CompositeAPI,2025-07-02T19:23:43.749881+00:00,0,0,0,0,0,0,32,33,29,3,4,36
10.1016/j.tele.2015.08.002,40,16,CompositeAPI,2025-07-02T19:23:46.876787+00:00,40,0,0,40,0,40,16,13,13,3,0,16
1550314631,39,55,CompositeAPI,2025-07-02T19:23:50.907782+00:00,39,0,0,39,0,39,41,37,23,18,14,55
10.1177/0033294117742657,25,11,CompositeAPI,2025-07-02T19:23:56.185665+00:00,25,0,0,25,0,25,10,9,8,2,1,11
10.1016/j.sleep.2021.02.045,62,7,CompositeAPI,2025-07-02T19:23:59.452902+00:00,62,0,0,62,0,62,7,0,0,7,0,7
10.1111/jcpp.13282,31,47,CompositeAPI,2025-07-02T19:24:04.535813+00:00,26,29,24,2,5,31,44,37,34,10,3,47
10.1177/000494419303700207,27,18,CompositeAPI,2025-07-02T19:24:08.706212+00:00,27,0,0,27,0,27,17,17,16,1,1,18
10.4278/ajhp.07053050,18,11,CompositeAPI,2025-07-02T19:24:12.900903+00:00,17,13,12,5,1,18,10,9,8,2,1,11
10.1186/s12889-020-09894-w,37,17,CompositeAPI,2025-07-02T19:24:16.207892+00:00,35,35,33,2,2,37,15,14,12,3,2,17
10.1080/15213269.2019.1624177,52,39,CompositeAPI,2025-07-02T19:24:20.401626+00:00,52,0,0,52,0,52,39,33,33,6,0,39
10.1207/s15506878jobem4402_4,15,210,CompositeAPI,2025-07-02T19:24:25.552212+00:00,15,0,0,15,0,15,195,183,168,27,15,210
10.1177/2050157914550663,28,58,CompositeAPI,2025-07-02T19:24:30.383112+00:00,28,0,0,28,0,28,57,37,36,21,1,58
10.1071/he12058,33,121,CompositeAPI,2025-07-02T19:24:35.045165+00:00,33,0,0,33,0,33,114,99,92,22,7,121
10.1111/ijsw.70012,37,0,CompositeAPI,2025-07-02T19:24:40.377229+00:00,37,0,0,37,0,37,0,0,0,0,0,0
10.1155/2022/1402751,46,19,CompositeAPI,2025-07-02T19:24:43.106765+00:00,44,38,36,8,2,46,19,15,15,4,0,19
10.4018/978-1-4666-0315-8.ch030,19,0,CompositeAPI,2025-07-02T19:24:47.246843+00:00,19,0,0,19,0,19,0,0,0,0,0,0
10.1017/s0021849904040073,17,44,CompositeAPI,2025-07-02T19:24:48.782929+00:00,17,0,0,17,0,17,42,38,36,6,2,44
10.1177/0044118x19868365,63,36,CompositeAPI,2025-07-02T19:24:52.340007+00:00,63,0,0,63,0,63,36,20,20,16,0,36
10.1177/20501579221077525,55,12,CompositeAPI,2025-07-02T19:24:58.106321+00:00,55,0,0,55,0,55,12,9,9,3,0,12
10.1027/1864-1105/a000388,59,6,CompositeAPI,2025-07-02T19:25:03.027518+00:00,59,0,0,59,0,59,6,4,4,2,0,6
2943800371,0,37,CompositeAPI,2025-07-02T19:25:07.901586+00:00,0,0,0,0,0,0,28,30,21,7,9,37
10.1093/aje/kwp163,29,446,CompositeAPI,2025-07-02T19:25:11.096593+00:00,29,0,0,29,0,29,443,131,128,315,3,446
10.3390/ijerph18063227,175,30,CompositeAPI,2025-07-02T19:25:19.338581+00:00,167,160,152,15,8,175,26,21,17,9,4,30
10.2196/22740,71,59,CompositeAPI,2025-07-02T19:25:29.660482+00:00,66,65,60,6,5,71,58,48,47,11,1,59
10.1038/s41390-022-02261-y,62,37,CompositeAPI,2025-07-02T19:25:34.963042+00:00,58,57,53,5,4,62,33,31,27,6,4,37
10.1159/000086877,7,0,CompositeAPI,2025-07-02T19:25:40.132215+00:00,7,0,0,7,0,7,0,0,0,0,0,0
10.1287/mksc.2022.0080,19,10,CompositeAPI,2025-07-02T19:25:43.104495+00:00,13,13,7,6,6,19,8,6,4,4,2,10
10.1080/00140130903067789,97,91,CompositeAPI,2025-07-02T19:25:46.176295+00:00,97,0,0,97,0,97,90,77,76,14,1,91
10.3389/fpsyg.2020.01734,48,34,CompositeAPI,2025-07-02T19:25:54.413794+00:00,41,44,37,4,7,48,33,26,25,8,1,34
10.1186/s12966-015-0280-7,37,139,CompositeAPI,2025-07-02T19:25:58.799865+00:00,34,31,28,6,3,37,135,125,121,14,4,139
10.1177/0267323102017003692,11,32,CompositeAPI,2025-07-02T19:26:04.185316+00:00,11,0,0,11,0,11,25,28,21,4,7,32
10.1016/j.chb.2014.05.004,116,82,CompositeAPI,2025-07-02T19:26:07.841524+00:00,116,0,0,116,0,116,74,65,57,17,8,82
10.1080/1369118x.2018.1430162,35,98,CompositeAPI,2025-07-02T19:26:16.316720+00:00,35,0,0,35,0,35,95,64,61,34,3,98
10.1016/j.jad.2025.04.032,63,0,CompositeAPI,2025-07-02T19:26:20.719802+00:00,63,0,0,63,0,63,0,0,0,0,0,0
10.1016/j.chc.2005.03.001,54,23,CompositeAPI,2025-07-02T19:26:24.190066+00:00,54,0,0,54,0,54,18,21,16,2,5,23
10.1002/hbe2.139,72,199,CompositeAPI,2025-07-02T19:26:29.529702+00:00,72,68,68,4,0,72,191,157,149,42,8,199
10.1016/j.mhpa.2020.100344,39,7,CompositeAPI,2025-07-02T19:26:36.481171+00:00,39,0,0,39,0,39,6,7,6,0,1,7
10.1016/j.jadohealth.2024.11.020,0,0,CompositeAPI,2025-07-02T19:26:40.601915+00:00,0,0,0,0,0,0,0,0,0,0,0,0
10.1007/s40501-024-00312-1,62,6,CompositeAPI,2025-07-02T19:26:41.841757+00:00,62,0,0,62,0,62,6,5,5,1,0,6
10.1177/146642400312400110,21,313,CompositeAPI,2025-07-02T19:26:47.234212+00:00,21,0,0,21,0,21,298,280,265,33,15,313
10.1016/j.chb.2024.108235,85,14,CompositeAPI,2025-07-02T19:26:53.102810+00:00,82,78,75,7,3,85,13,13,12,1,1,14
10.1016/j.compedu.2019.103704,32,37,CompositeAPI,2025-07-02T19:26:59.063944+00:00,32,0,0,32,0,32,37,30,30,7,0,37
10.2307/747641,16,185,CompositeAPI,2025-07-02T19:27:03.419804+00:00,16,0,0,16,0,16,175,141,131,44,10,185
10.1177/1745691617713052,135,597,CompositeAPI,2025-07-02T19:27:08.573537+00:00,135,0,0,135,0,135,570,459,432,138,27,597
10.1177/2057150x221121698,32,4,CompositeAPI,2025-07-02T19:27:21.405561+00:00,32,0,0,32,0,32,3,3,2,1,1,4
10.1051/shsconf/20173300065,18,4,CompositeAPI,2025-07-02T19:29:39.471331+00:00,18,18,18,0,0,18,2,4,2,0,2,4
10.1093/ct/qtad016,122,20,CompositeAPI,2025-07-02T19:29:42.568655+00:00,116,112,106,10,6,122,20,18,18,2,0,20
10.1163/15685314-04601008,0,5,CompositeAPI,2025-07-02T19:29:49.587116+00:00,0,0,0,0,0,0,5,5,5,0,0,5
10.1177/02654075221087942,108,36,CompositeAPI,2025-07-02T19:29:52.215415+00:00,108,0,0,108,0,108,35,29,28,7,1,36
10.1016/j.tele.2011.06.001,18,103,CompositeAPI,2025-07-02T19:29:59.298677+00:00,18,0,0,18,0,18,100,88,85,15,3,103
10.1093/oxfordhb/9780195393002.013.0024,0,1,CompositeAPI,2025-07-02T19:30:03.234114+00:00,0,0,0,0,0,0,1,0,0,1,0,1
10.1016/j.sleep.2017.09.002,55,16,CompositeAPI,2025-07-02T19:30:06.122007+00:00,54,48,47,7,1,55,16,14,14,2,0,16
10.1093/acprof:oso/9780195312805.003.0012,0,13,CompositeAPI,2025-07-02T19:30:11.331169+00:00,0,0,0,0,0,0,13,3,3,10,0,13
10.3389/fpsyt.2022.981881,98,23,CompositeAPI,2025-07-02T19:30:14.069075+00:00,89,93,84,5,9,98,22,19,18,4,1,23
10.4018/978-1-5225-9412-3.ch009,73,3,CompositeAPI,2025-07-02T19:30:20.323773+00:00,73,0,0,73,0,73,2,2,1,1,1,3
10.1093/jcmc/zmaa010,52,6,CompositeAPI,2025-07-02T19:30:25.409274+00:00,52,0,0,52,0,52,6,5,5,1,0,6
10.1080/1369118x.2013.777760,45,96,CompositeAPI,2025-07-02T19:30:30.663292+00:00,45,0,0,45,0,45,95,68,67,28,1,96
10.1027/1864-1105/a000038,69,28,CompositeAPI,2025-07-02T19:30:35.850810+00:00,69,0,0,69,0,69,28,24,24,4,0,28
10.1016/j.chb.2014.04.003,58,131,CompositeAPI,2025-07-02T19:30:41.914389+00:00,58,0,0,58,0,58,120,92,81,39,11,131
10.1177/089443938800600204,18,39,CompositeAPI,2025-07-02T19:30:47.728740+00:00,18,0,0,18,0,18,33,25,19,14,6,39
10.1016/j.socscimed.2019.05.030,92,56,CompositeAPI,2025-07-02T19:30:50.878814+00:00,92,0,0,92,0,92,51,39,34,17,5,56
10.5546/aap.2024-10451.eng,14,2,CompositeAPI,2025-07-02T19:30:57.186873+00:00,0,14,0,0,14,14,2,1,1,1,0,2
10.1016/s0031-3955(05)70354-0,43,450,CompositeAPI,2025-07-02T19:30:59.998714+00:00,43,0,0,43,0,43,422,394,366,56,28,450
10.1177/0963721419838244,38,265,CompositeAPI,2025-07-02T19:31:08.572947+00:00,38,0,0,38,0,38,246,182,163,83,19,265
10.1080/1369118x.2024.2317898,38,2,CompositeAPI,2025-07-02T19:31:14.798225+00:00,38,0,0,38,0,38,1,1,0,1,1,2
10.1093/oxfordhb/9780199873630.013.0009,0,7,CompositeAPI,2025-07-02T19:31:18.962140+00:00,0,0,0,0,0,0,4,6,3,1,3,7
10.1016/j.chbr.2023.100293,30,2,CompositeAPI,2025-07-02T19:31:21.685390+00:00,29,27,26,3,1,30,2,2,2,0,0,2
10.1038/nrendo.2010.133,95,72,CompositeAPI,2025-07-02T19:31:25.668115+00:00,95,0,0,95,0,95,70,57,55,15,2,72
10.1123/jpah.9.7.977,30,76,CompositeAPI,2025-07-02T19:31:33.645367+00:00,30,0,0,30,0,30,64,65,53,11,12,76
10.1080/08997764.2011.601974,30,59,CompositeAPI,2025-07-02T19:31:37.846562+00:00,30,0,0,30,0,30,59,14,14,45,0,59
10.1177/20501579231185479,54,5,CompositeAPI,2025-07-02T19:31:42.079601+00:00,44,49,39,5,10,54,5,4,4,1,0,5
10.1037/0000100-023,0,4,CompositeAPI,2025-07-02T19:31:45.981432+00:00,0,0,0,0,0,0,4,1,1,3,0,4
10.1037/ppm0000479,0,0,CompositeAPI,2025-07-02T19:31:48.515699+00:00,0,0,0,0,0,0,0,0,0,0,0,0
10.1080/16522354.2024.2418718,58,1,CompositeAPI,2025-07-02T19:31:49.860336+00:00,57,45,44,13,1,58,1,1,1,0,0,1
10.1080/01292986.2012.725179,41,12,CompositeAPI,2025-07-02T19:31:54.739674+00:00,41,0,0,41,0,41,11,10,9,2,1,12
10.1207/s15506878jobem4403_1,23,104,CompositeAPI,2025-07-02T19:31:58.757307+00:00,23,0,0,23,0,23,104,7,7,97,0,104
10.1007/s40124-023-00290-7,37,1,CompositeAPI,2025-07-02T19:32:03.801485+00:00,37,0,0,37,0,37,1,1,1,0,0,1
10.1055/s-0038-1626338,19,12,CompositeAPI,2025-07-02T19:32:07.806907+00:00,19,0,0,19,0,19,9,11,8,1,3,12
10.1016/j.tele.2020.101558,46,11,CompositeAPI,2025-07-02T19:32:10.821252+00:00,46,0,0,46,0,46,10,7,6,4,1,11
10.1080/10810730.2020.1746868,57,30,CompositeAPI,2025-07-02T19:32:14.912778+00:00,57,0,0,57,0,57,30,25,25,5,0,30
10.3389/fpsyg.2022.985112,102,12,CompositeAPI,2025-07-02T19:32:20.119145+00:00,96,97,91,5,6,102,11,9,8,3,1,12
10.1515/commun-2020-0028,33,9,CompositeAPI,2025-07-02T19:32:27.219651+00:00,33,0,0,33,0,33,8,6,5,3,1,9
10.3200/gntp.165.4.367-382,20,100,CompositeAPI,2025-07-02T19:32:31.722183+00:00,20,0,0,20,0,20,92,73,65,27,8,100
10.1177/1463949117714080,34,10,CompositeAPI,2025-07-02T19:32:35.734422+00:00,34,0,0,34,0,34,10,9,9,1,0,10
10.1111/jcc4.12183,51,179,CompositeAPI,2025-07-02T19:32:39.785988+00:00,51,0,0,51,0,51,176,141,138,38,3,179
10.1177/0267323112453672,30,11,CompositeAPI,2025-07-02T19:32:45.961877+00:00,30,0,0,30,0,30,11,8,8,3,0,11
10.1111/j.1467-9663.2008.00494.x,54,36,CompositeAPI,2025-07-02T19:32:49.879042+00:00,54,0,0,54,0,54,36,32,32,4,0,36
10.1016/j.infoecopol.2023.101045,24,4,CompositeAPI,2025-07-02T19:32:55.461760+00:00,21,19,16,5,3,24,3,3,2,1,1,4
10.1007/s11205-015-1227-8,42,106,CompositeAPI,2025-07-02T19:32:58.563775+00:00,42,0,0,42,0,42,101,89,84,17,5,106
10.1007/s11205-010-9656-x,20,30,CompositeAPI,2025-07-02T19:33:03.479761+00:00,20,0,0,20,0,20,29,21,20,9,1,30
10.1016/j.jsams.2014.01.004,25,28,CompositeAPI,2025-07-02T19:33:06.651596+00:00,25,0,0,25,0,25,27,26,25,2,1,28
10.1037/dev0000399,73,65,CompositeAPI,2025-07-02T19:33:09.853146+00:00,73,0,0,73,0,73,59,41,35,24,6,65
10.1080/08838159209364182,10,17,CompositeAPI,2025-07-02T19:33:16.540767+00:00,10,0,0,10,0,10,11,17,11,0,6,17
10.1016/j.ypmed.2014.08.028,51,197,CompositeAPI,2025-07-02T19:33:19.567954+00:00,51,0,0,51,0,51,191,167,161,30,6,197
10.3390/ijerph18094522,139,30,CompositeAPI,2025-07-02T19:33:26.358873+00:00,127,129,117,10,12,139,29,19,18,11,1,30
10.1080/08997764.2021.1918698,43,3,CompositeAPI,2025-07-02T19:33:34.518762+00:00,43,0,0,43,0,43,2,1,0,2,1,3
10.1093/jcmc/zmz013,60,243,CompositeAPI,2025-07-02T19:33:38.559820+00:00,60,0,0,60,0,60,243,0,0,243,0,243
10.1016/j.sleh.2021.05.009,40,19,CompositeAPI,2025-07-02T19:33:45.677433+00:00,40,0,0,40,0,40,18,16,15,3,1,19
10.1177/0735633117707792,35,5,CompositeAPI,2025-07-02T19:33:50.028924+00:00,35,0,0,35,0,35,5,5,5,0,0,5
10.1007/s41105-021-00345-6,39,8,CompositeAPI,2025-07-02T19:33:54.166678+00:00,39,0,0,39,0,39,8,7,7,1,0,8
10.3390/ijerph17197122,40,10,CompositeAPI,2025-07-02T19:33:58.137936+00:00,37,38,35,2,3,40,8,9,7,1,2,10
10.1080/00222216.2012.11950252,42,62,CompositeAPI,2025-07-02T19:34:02.156579+00:00,42,0,0,42,0,42,58,49,45,13,4,62
10.1177/1461444805049139,27,16,CompositeAPI,2025-07-02T19:34:07.111276+00:00,27,0,0,27,0,27,16,15,15,1,0,16
10.17269/s41997-019-00289-y,28,47,CompositeAPI,2025-07-02T19:34:10.982935+00:00,26,27,25,1,2,28,46,35,34,12,1,47
10.1016/j.chb.2012.12.022,73,208,CompositeAPI,2025-07-02T19:34:15.220130+00:00,73,0,0,73,0,73,200,173,165,35,8,208
